Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,22uF,
"C10, C11, C12, C13, C14, C5, C6, C7, C8, C9",0402,10,100nF,C1525
"C3, C4",0402,2,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91",D_SOD-123,91,D_Small,
F2,1206,1,500mA,
J2,PinHeader_1x05_P2.00mm_Vertical,1,Conn_01x05,
J3,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,Conn_01x04,
R1,0402,1,1k,
"R4, R5",0402,2,27Ohm,
R6,0402,1,10kOhm,
R7,0805,1,1kOhm,
SW1,KXT321LHS,1,SW_Push,
"SW10, SW11, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",MX-1U-NoLED,10,MX_SW_solder,
SW12,MX-1U-NoLED,1,ESC,
SW13,MX-1.25U-NoLED,1,TAB,
SW14,MX-1.75U-NoLED,1,CAPS,
SW15,MX-2.25U-FLIPPED,1,LSFT,
SW16,MX-1.5U-NoLED,1,LCTL,
SW17,MX-1U-NoLED,1,1,
SW18,MX-1U-NoLED,1,Q,
SW19,MX-1U-NoLED,1,A,
SW20,MX-1U-NoLED,1,~{LSFT},
SW21,MX-1.5U-NoLED,1,LALT,
SW22,MX-1U-NoLED,1,2,
SW23,MX-1U-NoLED,1,W,
SW24,MX-1U-NoLED,1,S,
SW25,MX-1U-NoLED,1,Z,
SW26,MX-1U-NoLED,1,3,
SW27,MX-1U-NoLED,1,E,
SW28,MX-1U-NoLED,1,D,
SW29,MX-1U-NoLED,1,X,
SW30,MX-1U-NoLED,1,4,
SW31,MX-1U-NoLED,1,R,
SW32,MX-1U-NoLED,1,F,
SW33,MX-1U-NoLED,1,C,
SW34,MX-1U-NoLED,1,5,
SW35,MX-1U-NoLED,1,T,
SW36,MX-1U-NoLED,1,G,
SW37,MX-1U-NoLED,1,V,
SW38,MX-7U-ReversedStabilizers-NoLED,1,MX_SW_solder,
SW39,MX-1U-NoLED,1,6,
SW40,MX-1U-NoLED,1,Y,
SW41,MX-1U-NoLED,1,H,
SW42,MX-1U-NoLED,1,B,
SW43,MX-1U-NoLED,1,7,
SW44,MX-1U-NoLED,1,U,
SW45,MX-1U-NoLED,1,J,
SW46,MX-1U-NoLED,1,N,
SW47,MX-1U-NoLED,1,8,
SW48,MX-1U-NoLED,1,I,
SW49,MX-1U-NoLED,1,K,
SW50,MX-1U-NoLED,1,M,
SW51,MX-1U-NoLED,1,9,
SW52,MX-1U-NoLED,1,O,
SW53,MX-1U-NoLED,1,L,
SW54,MX-1U-NoLED,1,<,
SW55,MX-1U-NoLED,1,0,
SW56,MX-1U-NoLED,1,P,
SW57,MX-1U-NoLED,1,:,
SW58,MX-1U-NoLED,1,>,
SW59,MX-1U-NoLED,1,-,
SW60,MX-1U-NoLED,1,{,
SW61,MX-1U-NoLED,1,"""",
SW62,MX-1U-NoLED,1,?,
SW63,MX-1.5U-NoLED,1,RALT,
SW64,MX-1U-NoLED,1,+,
SW65,MX-1U-NoLED,1,},
SW66,MX-2U-NoLED,1,BSPACE,
SW67,MX-1U-NoLED,1,NLCK,
SW68,MX-2.75U-NoLED,1,RSFT,
SW69,MX-1U-NoLED,1,~{BSP|\},
SW70,MX-1.5U-NoLED,1,PIPE,
SW71,MX-2.5U-ReversedStabilizers-NoLED,1,ENTER,
SW72,MX-1U-NoLED,1,~{FN},
SW73,MX-1.5U-NoLED,1,RCTL,
SW74,MX-1U-NoLED,1,DIVIDE,
SW75,MX-1U-NoLED,1,N8,
SW76,MX-1U-NoLED,1,N5,
SW77,MX-1U-NoLED,1,N2,
SW78,MX-1U-NoLED,1,SPLIT N-ENTER,
SW79,MX-1U-NoLED,1,MULT,
SW80,MX-1U-NoLED,1,N9,
SW81,MX-1U-NoLED,1,N6,
SW82,MX-1U-NoLED,1,N3,
SW83,MX-1U-NoLED,1,SPLIT N0,
SW84,MX-1U-NoLED,1,N-,
SW85,MX-2U-ReversedStabilizers-NoLED,1,N+,
SW86,MX-1U-NoLED,1,SPLIT N+,
SW87,MX-2U-ReversedStabilizers-NoLED,1,N-ENTER,
SW88,MX-1U-NoLED,1,N.,
SW89,SW_MX_1.75u_stp,1,~{CAPS},
SW90,MX-1.25U-NoLED,1,SPLITLSFT,
SW91,MX-1U-NoLED,1,N7,
SW92,MX-1.75U-NoLED,1,~{RSFT},
SW93,MX-1U-NoLED,1,N4,
SW94,MX-1U-NoLED,1,~{N+},
SW95,MX-1U-NoLED,1,~{N-ENTER},
SW96,MX-1U-NoLED,1,N1,
SW97,MX-2U-ReversedStabilizers-NoLED,1,N0,
SW98,MX-1U-NoLED,1,~{N0},
SW99,MX-1U-NoLED,1,~{BSPACE},
U1,SOT-23,1,XC6206PxxxMR,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,
U3,SOT-23-6-routable,1,SRV05-4,
U4,RP2040-QFN-56,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
